S,Event Count,g1 fraction,g2 fraction of g1,g2 fraction of all events
aC2_FL_+_stained,29010.0,0.08462599103757325,0.9987780040733197,0.08452257842123406
aC2_FL_+_unstained,37623.0,0.09292188289078489,0.9974256292906178,0.09268266751721022
aC2_dCyto_-_stained,45822.0,0.17694557199598446,0.9964232856438086,0.17631268822836194
aC2_dCyto_-_unstained,30554.0,0.19404987890292597,0.9981447124304267,0.19368986057472018
aC2_dCyto_+_unstained,55441.0,0.2104218899370502,0.9956283216183782,0.2095019931097924
aC2_dCyto_+_stained,52629.0,0.23355944441277623,0.9977220956719818,0.23302741834349883
a4_FL_-_unstained,48690.0,0.23805709591291846,0.9949961176775084,0.23686588621893612
gC3_FL_+_EC6_a4_unstained,46190.0,0.25444901493829836,0.9975325448821577,0.2538211734141589
a4_FL_-_stained,72344.0,0.26013214641158905,0.9978213507625272,0.2595654097091673
gC3_FL_+_EC6_a4_stained,37844.0,0.27547299439805517,0.9980815347721822,0.27494450903709966
a4_dCyto_+_EC56_gC3_unstained,45935.0,0.32393599651681726,0.9983870967741936,0.3234135191030804
gC3_FL_+_stained,47964.0,0.3421107497289634,0.9974404290328478,0.3412350929864065
a4_dCyto_+_EC56_gC3_stained,35702.0,0.35362164584617106,0.9985742574257426,0.3531174724105092
gC3_FL_+_unstained,61119.0,0.37139023871463867,0.997665095378651,0.37052307792993994
gC3_FL_-_stained,46388.0,0.41629300681210657,0.9977215058774792,0.41534448564283866
gC3_dCyto_+_EC6_a4_unstained,52408.0,0.45533124713784157,0.9980304236684406,0.4544344374904595
gC3_FL_-_unstained,39312.0,0.4633699633699634,0.9984079929732104,0.4626322751322751
gC3_dCyto_+_EC6_a4_stained,57130.0,0.4654822335025381,0.9983830331290189,0.46472956415193417
a4_dCyto_+_unstained,71180.0,0.5364147232368642,0.9959404955214499,0.534237145265524
gC3_dCyto_+_unstained,57058.0,0.5607802586841459,0.9985311122917774,0.5599565354551509
gC3_dCyto_+_stained,74083.0,0.5623557361337959,0.9982717649600346,0.5613838532456839
a4_dCyto_+_EC6_gC3_unstained,85646.0,0.5888774723863345,0.9980767324278774,0.5877449034397403
a4_dCyto_+_stained,67414.0,0.591761355208117,0.9981199709222169,0.5906488266532174
a4_dCyto_+_EC6_gC3_stained,68516.0,0.6257662443808746,0.9986472303206997,0.6249197267791464
untransfected_unstained,73921.0,0.8918710515279826,0.9991657565829389,0.8911270139743781
