,a4dCmCh+,b17dsdC,gB6dsdC,gC3dsdC,b17FL+,gB6dC+,gC3FL+
a4dCmCh+,1.0,2.8654604742772705e-05,4.782638663747285e-05,4.612976667317525e-13,0.0,8.045009103341272e-12,0.0
b17dsdC,2.8654604742772705e-05,1.0,0.9995733790273734,0.025035892586652064,7.183142969324763e-14,0.0583713365166727,1.2480017019811385e-12
gB6dsdC,4.782638663747285e-05,0.9995733790273734,1.0,0.004057772471168675,0.0,0.012270559685245597,1.63202784619898e-14
gC3dsdC,4.612976667317525e-13,0.025035892586652064,0.004057772471168675,1.0,5.850302464693868e-10,0.9999843707203436,5.670900127263678e-08
b17FL+,0.0,7.183142969324763e-14,0.0,5.850302464693868e-10,1.0,7.770486476488259e-10,0.07694043062977851
gB6dC+,8.045009103341272e-12,0.0583713365166727,0.012270559685245597,0.9999843707203436,7.770486476488259e-10,1.0,8.281488506067802e-08
gC3FL+,0.0,1.2480017019811385e-12,1.63202784619898e-14,5.670900127263678e-08,0.07694043062977851,8.281488506067802e-08,1.0
