,a4dCmCh+,gA11dC-,a4+gA11dC-,5x+gA11dC-,10x+gA11dC-,12x+gA11dC-,14x+gA11dC-
a4dCmCh+,1.0,0.0014909582270730137,5.879165000388653e-06,0.11201878964665823,0.00028023762822293463,0.006126500193814999,0.9951581501663467
gA11dC-,0.0014909582270730137,1.0,4.393009178649265e-09,7.815734701621668e-05,2.395640912311592e-07,3.7298865749324506e-06,0.38256859726687753
a4+gA11dC-,5.879165000388653e-06,4.393009178649265e-09,1.0,0.4643841070180058,0.999999168470875,0.9751929903516767,0.0019246120521433374
5x+gA11dC-,0.11201878964665823,7.815734701621668e-05,0.4643841070180058,1.0,0.5501438574881603,0.9627359529213477,0.21359001405310707
10x+gA11dC-,0.00028023762822293463,2.395640912311592e-07,0.999999168470875,0.5501438574881603,1.0,0.9741553680897104,0.005037229690805889
12x+gA11dC-,0.006126500193814999,3.7298865749324506e-06,0.9751929903516767,0.9627359529213477,0.9741553680897104,1.0,0.036162699868175774
14x+gA11dC-,0.9951581501663467,0.38256859726687753,0.0019246120521433374,0.21359001405310707,0.005037229690805889,0.036162699868175774,1.0
