,a4dCmCh+,gA11dC-,a4+gA11dC-,5x+gA11dC-,10x+gA11dC-,12x+gA11dC-,14x+gA11dC-
a4dCmCh+,1.0,0.9898515382168711,2.846263447153774e-09,0.02001375636410352,7.424945277501038e-07,1.6957441824505537e-05,0.9999999885610954
gA11dC-,0.9898515382168711,1.0,2.9427430936479482e-08,0.014710539137336776,1.5494703047291836e-06,2.5834742000907518e-05,0.9997792381309806
a4+gA11dC-,2.846263447153774e-09,2.9427430936479482e-08,1.0,0.039049470142402454,0.9999999909197633,0.9619875139283662,6.868344224697509e-05
5x+gA11dC-,0.02001375636410352,0.014710539137336776,0.039049470142402454,1.0,0.09138969916514594,0.43354201386081936,0.1924729996377943
10x+gA11dC-,7.424945277501038e-07,1.5494703047291836e-06,0.9999999909197633,0.09138969916514594,1.0,0.9736460063882492,0.000315174936042828
12x+gA11dC-,1.6957441824505537e-05,2.5834742000907518e-05,0.9619875139283662,0.43354201386081936,0.9736460063882492,1.0,0.0027426830956073234
14x+gA11dC-,0.9999999885610954,0.9997792381309806,6.868344224697509e-05,0.1924729996377943,0.000315174936042828,0.0027426830956073234,1.0
