,a4dCmCh+,5xdC+,10xdC+,12xdC+,14xdC+,gB6dsdC
a4dCmCh+,1.0,0.9999980807317842,0.9909124065737858,0.9887765168848822,0.9990827927602808,2.913305152674184e-10
5xdC+,0.9999980807317842,1.0,0.9915471928285211,0.9898732062445248,0.9999086865798961,2.040433755290394e-08
10xdC+,0.9909124065737858,0.9915471928285211,1.0,0.9999999988896184,0.9685664664259969,1.210257949413318e-07
12xdC+,0.9887765168848822,0.9898732062445248,0.9999999988896184,1.0,0.9645548913120329,1.3011286037478698e-07
14xdC+,0.9990827927602808,0.9999086865798961,0.9685664664259969,0.9645548913120329,1.0,3.1325020799499725e-08
gB6dsdC,2.913305152674184e-10,2.040433755290394e-08,1.210257949413318e-07,1.3011286037478698e-07,3.1325020799499725e-08,1.0
