,a4dCmCh+,b17dsdC,gB6dsdC,gC3dsdC,b17FL+,gB6dC+,gC3FL+
a4dCmCh+,1.0,3.5591372737897586e-08,3.4578057639400583e-08,0.0,0.0,0.0,0.0
b17dsdC,3.5591372737897586e-08,1.0,0.9996827388742763,0.0012546783183883248,0.0,1.3394840792102514e-12,0.0
gB6dsdC,3.4578057639400583e-08,0.9996827388742763,1.0,0.00013874056931528767,0.0,5.651035195342047e-14,0.0
gC3dsdC,0.0,0.0012546783183883248,0.00013874056931528767,1.0,4.318767565791859e-14,7.993659191241065e-07,0.0
b17FL+,0.0,0.0,0.0,4.318767565791859e-14,1.0,0.000776077390468366,0.8242882339443901
gB6dC+,0.0,1.3394840792102514e-12,5.651035195342047e-14,7.993659191241065e-07,0.000776077390468366,1.0,2.8553752762228157e-07
gC3FL+,0.0,0.0,0.0,0.0,0.8242882339443901,2.8553752762228157e-07,1.0
