,a4dCmCh+,5xdC+,10xdC+,12xdC+,14xdC+,gB6dsdC
a4dCmCh+,1.0,0.9997460649386661,0.9962969683437166,0.9856774825202166,0.7928956241894278,2.229492876981709e-06
5xdC+,0.9997460649386661,1.0,0.9999756623830323,0.999558584401046,0.7740657801652928,0.00012200119861938141
10xdC+,0.9962969683437166,0.9999756623830323,1.0,0.9999919420335592,0.6768254888949492,0.00020857689890907416
12xdC+,0.9856774825202166,0.999558584401046,0.9999919420335592,1.0,0.5934204768388553,0.0003194811584554813
14xdC+,0.7928956241894278,0.7740657801652928,0.6768254888949492,0.5934204768388553,1.0,4.2218519226144835e-06
gB6dsdC,2.229492876981709e-06,0.00012200119861938141,0.00020857689890907416,0.0003194811584554813,4.2218519226144835e-06,1.0
