,a4dCmCh+,b17dsdC,gB6dsdC,gC3dsdC,b17FL+,gB6dC+,gC3FL+
a4dCmCh+,1.0,0.9985386715494008,0.999317560776974,0.8781197501405136,3.2182139175773727e-09,0.6027536447837839,0.0
b17dsdC,0.9985386715494008,1.0,0.9999999754696982,0.9986033816412675,5.827652270751216e-06,0.9645634866740094,3.6176939222087867e-10
gB6dsdC,0.999317560776974,0.9999999754696982,1.0,0.995730096747837,1.5106421571431383e-06,0.9348933531200005,3.0218272328852436e-11
gC3dsdC,0.8781197501405136,0.9986033816412675,0.995730096747837,1.0,6.2154857167762145e-06,0.9989676378921504,7.409750590881004e-11
b17FL+,3.2182139175773727e-09,5.827652270751216e-06,1.5106421571431383e-06,6.2154857167762145e-06,1.0,7.019015081188851e-05,0.5965880610330715
gB6dC+,0.6027536447837839,0.9645634866740094,0.9348933531200005,0.9989676378921504,7.019015081188851e-05,1.0,3.1080258366955604e-09
gC3FL+,0.0,3.6176939222087867e-10,3.0218272328852436e-11,7.409750590881004e-11,0.5965880610330715,3.1080258366955604e-09,1.0
