,a4dCmCh+,5xdC+,10xdC+,12xdC+,14xdC+,gB6dsdC
a4dCmCh+,1.0,0.9617930509698337,0.9929069730763735,0.9994808690386296,0.08614493475924778,1.5752911008970472e-07
5xdC+,0.9617930509698337,1.0,0.999928171575585,0.9982881936958306,0.048718766380070555,5.43980083080875e-05
10xdC+,0.9929069730763735,0.999928171575585,1.0,0.9999536726966868,0.07855300031619872,2.7665534501730704e-05
12xdC+,0.9994808690386296,0.9982881936958306,0.9999536726966868,1.0,0.11835953984313041,1.4871278816275257e-05
14xdC+,0.08614493475924778,0.048718766380070555,0.07855300031619872,0.11835953984313041,1.0,1.0605696210141957e-08
gB6dsdC,1.5752911008970472e-07,5.43980083080875e-05,2.7665534501730704e-05,1.4871278816275257e-05,1.0605696210141957e-08,1.0
