,a4dCmCh+,gA11dC-,a4+gA11dC-,5x+gA11dC-,10x+gA11dC-,12x+gA11dC-,14x+gA11dC-
a4dCmCh+,1.0,0.3407061389304983,0.00016100493238901947,0.32552296753731014,0.0008782040187792495,0.013887980229785435,0.993963487768933
gA11dC-,0.3407061389304983,1.0,1.1264782611486446e-05,0.024701601016390295,5.5630614581470006e-05,0.0007432134152576264,0.9930453631961268
a4+gA11dC-,0.00016100493238901947,1.1264782611486446e-05,1.0,0.6418688745215111,0.9969393984235239,0.9998479920378655,0.01148263649738368
5x+gA11dC-,0.32552296753731014,0.024701601016390295,0.6418688745215111,1.0,0.4667049458535414,0.9081689432146154,0.3968883807696303
10x+gA11dC-,0.0008782040187792495,5.5630614581470006e-05,0.9969393984235239,0.4667049458535414,1.0,0.983235603964486,0.009998924013118082
12x+gA11dC-,0.013887980229785435,0.0007432134152576264,0.9998479920378655,0.9081689432146154,0.983235603964486,1.0,0.05714596377126613
14x+gA11dC-,0.993963487768933,0.9930453631961268,0.01148263649738368,0.3968883807696303,0.009998924013118082,0.05714596377126613,1.0
