S,a4_dCyto_+_stained,a4_dCyto_+_EC6_gC3_stained,a4_dCyto_+_EC56_gC3_stained,gC3_dCyto_+_stained,gC3_FL_+_stained,aC2_dCyto_+_stained,aC2_FL_+_stained
a4_dCyto_+_stained,1.0,6.278720632302282e-08,7.14401182655422e-09,4.535760655954846e-11,1.707312069498812e-11,0.3963068629920814,5.1200162825004725e-06
a4_dCyto_+_EC6_gC3_stained,6.278720632302282e-08,1.0,0.29421510285006847,3.810379604729519e-06,5.107621567912446e-07,8.66289051604241e-09,5.212996700976191e-11
a4_dCyto_+_EC56_gC3_stained,7.14401182655422e-09,0.29421510285006847,1.0,0.0001056428026011691,9.491611783540854e-06,1.2701092400035918e-09,1.315370035115393e-11
gC3_dCyto_+_stained,4.535760655954846e-11,3.810379604729519e-06,0.0001056428026011691,1.0,0.6568859518536034,1.3117396058248687e-11,4.1244785364824565e-13
gC3_FL_+_stained,1.707312069498812e-11,5.107621567912446e-07,9.491611783540854e-06,0.6568859518536034,1.0,5.3409499045642406e-12,2.0317081350640365e-13
aC2_dCyto_+_stained,0.3963068629920814,8.66289051604241e-09,1.2701092400035918e-09,1.3117396058248687e-11,5.3409499045642406e-12,1.0,0.0001064565642281412
aC2_FL_+_stained,5.1200162825004725e-06,5.212996700976191e-11,1.315370035115393e-11,4.1244785364824565e-13,2.0317081350640365e-13,0.0001064565642281412,1.0
