S,a4_dCyto_+_stained,a4_dCyto_+_EC6_gC3_stained,a4_dCyto_+_EC56_gC3_stained,gC3_dCyto_+_stained,gC3_FL_+_stained,aC2_dCyto_+_stained,aC2_FL_+_stained
a4_dCyto_+_stained,1.0,0.0059995400714421,0.0005542163232312713,3.616448839305342e-05,0.03784293881996481,0.9924569627301524,0.24173129599031962
a4_dCyto_+_EC6_gC3_stained,0.0059995400714421,1.0,0.8136861225431228,0.08859626767140427,0.9423795296287768,0.0018188253991932024,9.228871380007053e-05
a4_dCyto_+_EC56_gC3_stained,0.0005542163232312713,0.8136861225431228,1.0,0.6096962930479716,0.2781507832077539,0.00018487721244142552,1.2547835064879997e-05
gC3_dCyto_+_stained,3.616448839305342e-05,0.08859626767140427,0.6096962930479716,1.0,0.014419211657137776,1.3849074889549229e-05,1.3237098218654708e-06
gC3_FL_+_stained,0.03784293881996481,0.9423795296287768,0.2781507832077539,0.014419211657137776,1.0,0.011235577828630494,0.00047205947307304985
aC2_dCyto_+_stained,0.9924569627301524,0.0018188253991932024,0.00018487721244142552,1.3849074889549229e-05,0.011235577828630494,1.0,0.5683773085832284
aC2_FL_+_stained,0.24173129599031962,9.228871380007053e-05,1.2547835064879997e-05,1.3237098218654708e-06,0.00047205947307304985,0.5683773085832284,1.0
