S,a4_dCyto_+_stained,a4_dCyto_+_EC6_gC3_stained,a4_dCyto_+_EC56_gC3_stained,gC3_dCyto_+_stained,gC3_FL_+_stained,aC2_dCyto_+_stained,aC2_FL_+_stained
a4_dCyto_+_stained,1.0,0.4125156422672902,0.0415194942638728,0.0004906505116255566,0.004132545163568868,0.9999999999496789,0.9769671089318532
a4_dCyto_+_EC6_gC3_stained,0.4125156422672902,1.0,0.7739426994059508,0.019550579761757447,0.16626959759033821,0.3986180673376969,0.11912244348279744
a4_dCyto_+_EC56_gC3_stained,0.0415194942638728,0.7739426994059508,1.0,0.23160919445261874,0.8535463672537394,0.03954417052322867,0.009148432496434156
gC3_dCyto_+_stained,0.0004906505116255566,0.019550579761757447,0.23160919445261874,1.0,0.8732373379738344,0.0004688620268699095,0.00012688100979996175
gC3_FL_+_stained,0.004132545163568868,0.16626959759033821,0.8535463672537394,0.8732373379738344,1.0,0.003935832111918169,0.0009540368608644823
aC2_dCyto_+_stained,0.9999999999496789,0.3986180673376969,0.03954417052322867,0.0004688620268699095,0.003935832111918169,1.0,0.9804290392670286
aC2_FL_+_stained,0.9769671089318532,0.11912244348279744,0.009148432496434156,0.00012688100979996175,0.0009540368608644823,0.9804290392670286,1.0
