S,slope,intercept,r,p,stderr
a4_dCyto_+_EC56_gC3_stained,0.5582421799207241,4.311712582283754,0.9582682725661237,9.395631994408494e-28,0.024037217598138875
a4_dCyto_+_EC6_gC3_stained,0.5312286467568539,4.5473314781795,0.966032339543278,7.331579741315043e-30,0.02051149657848095
a4_dCyto_+_stained,0.22070077201189556,6.277281271649278,0.9532956830799618,1.3242274577935368e-26,0.010092949835808643
aC2_FL_+_stained,0.007003139557986607,7.418466154919983,0.14604510732657455,0.31153128967411864,0.006847049560494779
aC2_dCyto_+_stained,0.15730429569323431,6.763964036122809,0.9065832082593835,1.3065435464200376e-19,0.010569456336684475
gC3_FL_+_stained,0.7955751289540377,2.9849278978843845,0.9531940167414645,1.393569802618939e-26,0.03642525918472263
gC3_dCyto_+_stained,0.7533196927781293,3.3957670846301893,0.9915422012824502,3.142840776846165e-44,0.014232163634166782
