E,S,slope,intercept,r,p,stderr
20241114,a4_dCyto_+_EC56_gC3_stained,0.5370771382418352,4.317169650415755,0.9647746836072469,1.7298638877985654e-29,0.02113849077815867
20241114,a4_dCyto_+_EC6_gC3_stained,0.5261755988127788,4.560876359077572,0.9551901287684144,5.007744480303151e-27,0.023534317355673923
20241114,a4_dCyto_+_stained,0.2091522718514345,6.216943748910648,0.9482490984671864,1.4677906811650147e-25,0.010108826229051337
20241114,aC2_FL_+_stained,0.03351280645558664,7.181124340335028,0.5166702954084861,0.00012239469970586249,0.00801574734817224
20241114,aC2_dCyto_+_stained,0.13782841048357175,6.819313967287396,0.8496002991653175,6.1709451024229065e-15,0.01234996998164623
20241114,gC3_FL_+_stained,0.8056002743204901,2.75406919179816,0.9457480412445332,4.429058458028408e-25,0.03994611506599165
20241114,gC3_dCyto_+_stained,0.7096282109147262,3.5137409407555635,0.9931904203667486,1.7618298332702136e-46,0.01201468195024299
20241119,a4_dCyto_+_EC56_gC3_stained,0.5902571888485301,4.227314337457832,0.9480698330414333,1.5915734648924366e-25,0.028581989714788154
20241119,a4_dCyto_+_EC6_gC3_stained,0.5283386984213214,4.551903381621182,0.9657665493432758,8.813406027356425e-30,0.020483820113845724
20241119,a4_dCyto_+_stained,0.23448725683727223,6.281084266875465,0.9521986436330655,2.2833995598805796e-26,0.010858083626310815
20241119,aC2_FL_+_stained,-0.01566731156427751,7.636640008466922,-0.14574124773327415,0.3125500389416366,0.015350741934021797
20241119,aC2_dCyto_+_stained,0.16806846239566706,6.752403262125322,0.8839125155184814,1.8473784788223123e-17,0.012834512901364305
20241119,gC3_FL_+_stained,0.7999166328343574,3.0691176848572983,0.9551022791114331,5.2435622963375456e-27,0.03581550804669167
20241119,gC3_dCyto_+_stained,0.7940779004182783,3.2179543496796734,0.9905174437540428,4.835290206926282e-43,0.01589739884687969
20241120,a4_dCyto_+_EC56_gC3_stained,0.6173545404658639,4.212054992482722,0.9618564867181083,1.130726983190875e-28,0.025342398348403683
20241120,a4_dCyto_+_EC6_gC3_stained,0.5209579153675441,4.660149830426809,0.957698848026234,1.292414155919433e-27,0.022594466811342452
20241120,a4_dCyto_+_stained,0.19603125252188772,6.485004859030467,0.9261809951794265,5.750425246326264e-22,0.011519707997136086
20241120,aC2_FL_+_stained,-0.03614981515898894,7.824164325148402,-0.3144550932040259,0.026145339095399633,0.015751345585199156
20241120,aC2_dCyto_+_stained,0.18057493722790466,6.737567676544827,0.877525679651431,6.199865016932318e-17,0.014242705074635922
20241120,gC3_FL_+_stained,0.7638403939518504,3.2507939974870395,0.9455344599803573,4.855280933971443e-25,0.03795639976598258
20241120,gC3_dCyto_+_stained,0.746115720417307,3.564893782758001,0.9871834603503548,6.436400326276053e-40,0.017409731609624793
