E,S,slope,intercept,r,p,stderr
230916,10xdC+,0.1340620865063433,2.3189818363210923,0.8251146387541295,1.7203037129842544e-13,0.013249297959197074
230916,12xdC+,0.04379656153262863,2.6762172035586493,0.41544495266674586,0.002697785584949679,0.013840924802770743
230916,5xdC+,0.10894761988766921,2.121043083852621,0.6576377166835415,2.8382722477409474e-07,0.01820412764768156
230916,a4+gC3FL-,0.3462039198603231,1.9510989258388616,0.918250453253412,6.0795452815652e-21,0.021549914042833285
230916,a4dCmCh+,0.10606421159486668,2.525457141575269,0.6171728933475565,1.8101404770052904e-06,0.019517355524309634
230916,aC2FL+,0.13494334603292735,2.46603089530149,0.5569038749978823,2.666336064483968e-05,0.029048953540544504
230916,aC2dsdC,0.28677023602965046,2.312302381666273,0.8800644251880559,3.863195793764452e-17,0.022333632499163536
230916,b17FL+,0.705963787100985,2.3325632279495276,0.9937865560335407,1.9675276169107384e-47,0.01141232715263383
230916,b17dsdC,0.2574420479458419,2.3721348817075745,0.8023016949986975,2.4772130402223393e-12,0.027646258956654384
230916,gA11dsdC,0.28261217130799404,2.2883543464389016,0.8359101224897605,4.242524831137038e-14,0.02678411261274809
230916,gA3dsdC,0.3201290610198322,2.1677773867414447,0.9309633133898393,1.2170091814157904e-22,0.018121698314826847
230916,gB6dC+,0.4322463485460526,2.1228230035267743,0.9448110732573233,6.609658880124984e-25,0.021633681095650132
230916,gB6dsdC,0.23160999459118425,2.3434460614297223,0.9234512983893948,1.332332661723274e-21,0.013890957836934524
230916,gC3FL+,0.7832868220932617,1.0878947181460914,0.989808176173158,2.7092049379948937e-42,0.016265998353256598
230916,gC3FL-,0.05649102402059439,2.498770007788645,0.6855211849822198,3.958530786753497e-08,0.008659658248153899
230920,10xdC+,0.09305790193089586,2.59314921663908,0.7973898923298121,4.205552792947045e-12,0.010165145820424203
230920,12xdC+,0.08681911298250972,2.6688669495454858,0.42353999655893576,0.002178130192098874,0.026802155582660338
230920,5xdC+,0.025472328790223677,2.877502090425382,0.14892884777210383,0.30196866706198844,0.024411738306930816
230920,a4dCmCh+,0.13578088947987774,2.6400270497672027,0.5484381097005259,3.734871593635518e-05,0.029881058124802764
