S,Event Count,g1 fraction,g2 fraction of g1,g2 fraction of all events
aC2_FL_+_unstained,52954.0,0.0721758507383767,0.9984301412872841,0.07206254485024738
aC2_FL_+_stained,48362.0,0.07255696621314255,0.9974351667141635,0.07237086969107977
gC3_FL_+_EC6_a4_stained,69810.0,0.43417848445781404,0.9983173870009898,0.43344793009597476
a4_dCyto_+_EC56_gC3_stained,72006.0,0.44033830514123823,0.9976661305074589,0.43931061300447183
gC3_FL_+_stained,58079.0,0.4459615351503986,0.9988031350140921,0.44542777940391537
gC3_dCyto_+_EC6_a4_stained,77620.0,0.4510693120329812,0.9977721923911802,0.450064416387529
gC3_FL_+_unstained,69067.0,0.4591049270997727,0.999180043520767,0.4587284810401494
gC3_FL_+_EC6_a4_unstained,71753.0,0.4594929828717963,0.9991204124962086,0.4590888185859825
aC2_dCyto_+_stained,62994.0,0.45953582880909294,0.9989636589747133,0.4590595929771089
aC2_dCyto_+_unstained,51230.0,0.46554753074370486,0.9989098532494759,0.46504001561585007
gC3_dCyto_+_EC6_a4_unstained,75844.0,0.5193423342650704,0.998705222270177,0.5186699013765097
a4_dCyto_+_EC6_gC3_stained,74148.0,0.5400819981658305,0.9978025270938421,0.5388951826077575
gC3_dCyto_+_stained,78717.0,0.55756698044895,0.9985645933014354,0.5567666450703151
gC3_dCyto_+_unstained,80103.0,0.5596918966830207,0.9988178350768407,0.5590302485549855
a4_dCyto_+_stained,82162.0,0.5629609795282491,0.9985514766290483,0.5621455173924685
a4_dCyto_+_unstained,84242.0,0.5631988794188172,0.9986932237327432,0.562462904489447
a4_dCyto_+_EC6_gC3_unstained,85590.0,0.5870662460567824,0.99892530897367,0.5864353312302839
aC2_dCyto_-_stained,76475.0,0.5921804511278196,0.9991167443195619,0.5916574043805165
aC2_dCyto_-_unstained,67149.0,0.6007833325887206,0.9989093252689505,0.6001280733890304
a4_FL_-_unstained,89534.0,0.6479884736524673,0.9987072754537463,0.6471508030468872
a4_FL_-_stained,84231.0,0.6623927057734088,0.9988887694017278,0.6616566347306811
gC3_FL_-_unstained,107487.0,0.7119744713314168,0.9989415638720468,0.7112208918287793
gC3_FL_-_stained,110329.0,0.7123512403810421,0.9992365732317128,0.7118074123757127
untransfected_unstained,147446.0,0.7918356550872861,0.9990064495130746,0.7910489263866093
